Source,Target,Type,id,weight
WOSSEARCH,DATAVERSE,Undirected,212,276.0
WOSSEARCH,PANGAEA,Undirected,213,106.0
WOSSEARCH,BITBUCK,Undirected,214,167.0
WOSSEARCH,DATAOTHCL,Undirected,215,959.0
WOSSEARCH,JCRIFSEL,Undirected,216,3665.0
WOSSEARCH,DOAJ,Undirected,217,1110.0
WOSSEARCH,SCOPSEL,Undirected,218,2561.0
WOSSEARCH,SHERPAROM,Undirected,219,699.0
WOSSEARCH,QOAM,Undirected,220,106.0
WOSSEARCH,SCIMAGO,Undirected,221,1196.0
WOSSEARCH,JOURNALYS,Undirected,222,392.0
WOSSEARCH,JRNLOTHCL,Undirected,223,1033.0
WOSSEARCH,JTOPTRAD,Undirected,224,6520.0
WOSSEARCH,JTOPOA,Undirected,225,2757.0
WOSSEARCH,MEGATRAD,Undirected,226,2218.0
WOSSEARCH,MEGAOA,Undirected,227,1749.0
WOSSEARCH,DATAJRNL,Undirected,228,133.0
WOSSEARCH,WINNOWER,Undirected,229,49.0
WOSSEARCH,F1000RES,Undirected,230,183.0
WOSSEARCH,PUBLOTHCL,Undirected,231,496.0
WOSSEARCH,SPEAKER,Undirected,232,109.0
WOSSEARCH,SLIDSHA,Undirected,233,1551.0
WOSSEARCH,F1000POS,Undirected,234,166.0
WOSSEARCH,SCIOPPO,Undirected,235,205.0
WOSSEARCH,FIGSPOST,Undirected,236,467.0
WOSSEARCH,ZENOPOST,Undirected,237,99.0
WOSSEARCH,VIMEO,Undirected,238,399.0
WOSSEARCH,POSTOTHCL,Undirected,239,806.0
WOSSEARCH,WIKIPEDIA,Undirected,240,1336.0
WOSSEARCH,RESBLOG,Undirected,241,439.0
WOSSEARCH,WORDPRESS,Undirected,242,1344.0
WOSSEARCH,KUDOS,Undirected,243,244.0
WOSSEARCH,FAMELAB,Undirected,244,79.0
WOSSEARCH,PINTSCI,Undirected,245,87.0
WOSSEARCH,TWITTER,Undirected,246,2533.0
WOSSEARCH,TELLOTHCL,Undirected,247,1269.0
WOSSEARCH,SCHOLARCIT,Undirected,248,4951.0
WOSSEARCH,RGATEPROF,Undirected,249,5684.0
WOSSEARCH,ORCID,Undirected,250,3378.0
WOSSEARCH,ACADEMIA,Undirected,251,2416.0
WOSSEARCH,RESID,Undirected,252,1851.0
